"n_comparisons","maxBF01_at_N","perc_BF01_above_BF_threshold"
1,1,0
2,1.91,0
3,2.14,0
4,2.34,0
5,2.52,0
6,2.68,0
7,2.83,0
8,2.97,0
9,3.11,0
10,3.24,0
11,3.36,0
12,3.48,0
13,3.59,0
14,3.7,0
15,3.81,0
16,3.92,0
17,4.02,6.28
18,4.11,19.078
19,4.21,25.549
20,4.3,30.445
21,4.4,34.256
22,4.49,37.608
23,4.57,40.528
24,4.66,42.818
25,4.74,45.006
26,4.83,46.89
27,4.91,48.885
28,4.99,50.326
29,5.07,51.829
30,5.14,53.28
31,5.22,54.518
32,5.3,55.727
33,5.37,56.556
34,5.44,57.709
35,5.52,58.654
36,5.59,59.584
37,5.66,60.448
38,5.73,61.301
39,5.79,62.054
40,5.86,62.873
41,5.93,63.567
42,6,64.131
43,6.06,64.761
44,6.13,65.396
45,6.19,65.903
46,6.25,66.588
47,6.32,67.043
48,6.38,67.621
49,6.44,67.879
50,6.5,68.491
51,6.56,68.876
52,6.62,69.33
53,6.68,69.806
54,6.74,69.976
55,6.8,70.427
56,6.85,70.911
57,6.91,71.273
58,6.97,71.737
59,7.02,72.054
60,7.08,72.401
61,7.14,72.607
62,7.19,72.939
63,7.25,73.269
64,7.3,73.571
65,7.35,73.791
66,7.41,73.979
67,7.46,74.249
68,7.51,74.557
69,7.56,74.752
70,7.62,75.003
71,7.67,75.299
72,7.72,75.573
73,7.77,75.849
74,7.82,76.024
75,7.87,76.22
76,7.92,76.44
77,7.97,76.73
78,8.02,76.876
79,8.07,77.129
80,8.12,77.288
81,8.16,77.529
82,8.21,77.611
83,8.26,77.747
84,8.31,78.106
85,8.35,78.325
86,8.4,78.457
87,8.45,78.539
88,8.49,78.677
89,8.54,78.855
90,8.59,78.913
91,8.63,79.05
92,8.68,79.303
93,8.72,79.413
94,8.77,79.539
95,8.81,79.757
96,8.86,79.889
97,8.9,80.075
98,8.95,80.151
99,8.99,80.257
100,9.03,80.277
