"BF_log","subject_no","stop","study_no"
0,1,"H0 supported",1
-0.50630129963467,2,"H0 supported",1
-0.132647405398219,3,"H0 supported",1
-0.297206300681519,4,"H0 supported",1
-0.690104377808703,5,"H0 supported",1
-0.534944949198594,6,"H0 supported",1
-1.14806139913603,7,"H0 supported",1
-1.34583943219349,8,"H0 supported",1
-0.996217484837016,9,"H0 supported",1
-1.07534540336218,10,"H0 supported",1
-1.95471658749443,11,"H0 supported",1
-1.98144868842177,12,"H0 supported",1
-1.45373550861068,13,"H0 supported",1
-1.66363743890511,14,"H0 supported",1
-2.22019685918664,15,"H0 supported",1
-2.56855178451834,16,"H0 supported",1
-2.4577877491061,17,"H0 supported",1
-2.17777786400405,18,"H0 supported",1
-2.91133265266273,19,"H0 supported",1
-2.60095048273065,20,"H0 supported",1
-3.11579623150195,21,"H0 supported",1
-2.72628034174129,22,"H0 supported",1
-3.14226395397639,23,"H0 supported",1
-2.90737328798536,24,"H0 supported",1
-3.01438156809872,25,"H0 supported",1
-3.69550655799658,26,"H0 supported",1
-4,27,"H0 supported",1
0,1,"inconclusive",2
0.755772240734099,2,"inconclusive",2
1.20200722331926,3,"inconclusive",2
0.432777840426577,4,"inconclusive",2
0.898634766398178,5,"inconclusive",2
1.98796624457515,6,"inconclusive",2
1.95860848223208,7,"inconclusive",2
2.02054758538544,8,"inconclusive",2
2.27503955098829,9,"inconclusive",2
2.3276452204497,10,"inconclusive",2
1.47106358499269,11,"inconclusive",2
1.59692582304387,12,"inconclusive",2
2.19103009593271,13,"inconclusive",2
1.07168803477451,14,"inconclusive",2
1.20214072548313,15,"inconclusive",2
0.875570800784168,16,"inconclusive",2
0.0114046597231562,17,"inconclusive",2
0.209849063598144,18,"inconclusive",2
0.0546142162783418,19,"inconclusive",2
-0.846153497757006,20,"inconclusive",2
-0.442150009415225,21,"inconclusive",2
-0.958804347406744,22,"inconclusive",2
-1.51011417892406,23,"inconclusive",2
-1.26842588913043,24,"inconclusive",2
-0.625617972709883,25,"inconclusive",2
-0.0540529927575994,26,"inconclusive",2
-0.0719981690566481,27,"inconclusive",2
0.185800604827793,28,"inconclusive",2
0.198418930462837,29,"inconclusive",2
0.777623118378697,30,"inconclusive",2
0,1,"H1 supported",3
0.174334572958623,2,"H1 supported",3
0.503578663318435,3,"H1 supported",3
0.802131506365835,4,"H1 supported",3
0.698158641563039,5,"H1 supported",3
1.00154100655667,6,"H1 supported",3
0.809974736606712,7,"H1 supported",3
1.90851682980076,8,"H1 supported",3
2.2200386221008,9,"H1 supported",3
1.83547054942997,10,"H1 supported",3
2.32113074678204,11,"H1 supported",3
2.52249319392592,12,"H1 supported",3
1.85252003994804,13,"H1 supported",3
3.20435868125957,14,"H1 supported",3
3.33137289980858,15,"H1 supported",3
3.47039397532741,16,"H1 supported",3
3.31697861569997,17,"H1 supported",3
3.35596550865171,18,"H1 supported",3
4,19,"H1 supported",3
